institution,source,member,siconc_grid,experiment,time,year,month,sia_Mkm2,pi_clim_sia_Mkm2,sia_anom_Mkm2
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1850-01,1850,1,1.407272945470082,1.4093752245410047,-0.0021022790709226413
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1850-02,1850,2,1.4460845254255288,1.4242644549031387,0.0218200705223901
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1850-03,1850,3,1.4378798649056055,1.4144620660017835,0.023417798903822007
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1850-04,1850,4,1.3834694009314263,1.3742610488775366,0.009208352053889701
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1850-05,1850,5,1.2479139376224921,1.2701838315277316,-0.02226989390523948
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1850-06,1850,6,1.0395639611671137,1.0933532494031521,-0.05378928823603846
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1850-07,1850,7,0.780556968645855,0.8613355138029476,-0.0807785451570926
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1850-08,1850,8,0.6341359500417381,0.7146407395032384,-0.0805047894615003
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1850-09,1850,9,0.7401773683577395,0.7718784632239466,-0.03170109486620709
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1850-10,1850,10,0.913719588803117,0.9427767565198563,-0.029057167716739274
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1850-11,1850,11,1.0877050388333322,1.1227438178646247,-0.03503877903129249
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1850-12,1850,12,1.3175664030751582,1.328423256455141,-0.010856853379982878
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1851-01,1851,1,1.4472394400337143,1.4093752245410047,0.037864215492709574
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1851-02,1851,2,1.450166536061143,1.4242644549031387,0.02590208115800441
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1851-03,1851,3,1.4524114445148455,1.4144620660017835,0.037949378513062015
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1851-04,1851,4,1.3945083063331147,1.3742610488775366,0.020247257455578094
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1851-05,1851,5,1.3077315277960395,1.2701838315277316,0.037547696268307895
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1851-06,1851,6,1.1290995379313236,1.0933532494031521,0.03574628852817141
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1851-07,1851,7,0.8447449660511865,0.8613355138029476,-0.016590547751761053
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1851-08,1851,8,0.7016708593654766,0.7146407395032384,-0.012969880137761791
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1851-09,1851,9,0.7655084647172011,0.7718784632239466,-0.006369998506745467
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1851-10,1851,10,0.9561951021639704,0.9427767565198563,0.013418345644114149
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1851-11,1851,11,1.1319297397318002,1.1227438178646247,0.009185921867175484
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1851-12,1851,12,1.3255282401815418,1.328423256455141,-0.002895016273599227
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1852-01,1852,1,1.459164900297852,1.4093752245410047,0.04978967575684723
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1852-02,1852,2,1.4490652043131234,1.4242644549031387,0.024800749409984668
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1852-03,1852,3,1.4390475663261522,1.4144620660017835,0.02458550032436868
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1852-04,1852,4,1.3742320628490448,1.3742610488775366,-2.898602849188414e-05
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1852-05,1852,5,1.2878437054404954,1.2701838315277316,0.0176598739127638
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1852-06,1852,6,1.140264850646964,1.0933532494031521,0.046911601243811774
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1852-07,1852,7,0.9637599438124975,0.8613355138029476,0.10242443000954993
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1852-08,1852,8,0.819213353825008,0.7146407395032384,0.10457261432176967
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1852-09,1852,9,0.8156225741737725,0.7718784632239466,0.04374411094982589
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1852-10,1852,10,0.9508767617778191,0.9427767565198563,0.008100005257962839
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1852-11,1852,11,1.1125248241984993,1.1227438178646247,-0.010218993666125442
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1852-12,1852,12,1.3011107293269404,1.328423256455141,-0.027312527128200648
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1853-01,1853,1,1.4062912977523105,1.4093752245410047,-0.00308392678869418
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1853-02,1853,2,1.4366668629136978,1.4242644549031387,0.01240240801055914
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1853-03,1853,3,1.4196303331850693,1.4144620660017835,0.00516826718328578
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1853-04,1853,4,1.3813409707477589,1.3742610488775366,0.007079921870222217
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1853-05,1853,5,1.2830435175037402,1.2701838315277316,0.012859685976008617
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1853-06,1853,6,1.129512412156205,1.0933532494031521,0.036159162753052865
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1853-07,1853,7,0.8366945229902311,0.8613355138029476,-0.024640990812716534
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1853-08,1853,8,0.6891298642207407,0.7146407395032384,-0.025510875282497625
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1853-09,1853,9,0.7775306185027143,0.7718784632239466,0.005652155278767723
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1853-10,1853,10,0.9444957378840696,0.9427767565198563,0.0017189813642133345
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1853-11,1853,11,1.1202549647917912,1.1227438178646247,-0.00248885307283353
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1853-12,1853,12,1.3553711584231045,1.328423256455141,0.026947901967963483
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1854-01,1854,1,1.4582454522257244,1.4093752245410047,0.048870227684719714
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1854-02,1854,2,1.4550679764240082,1.4242644549031387,0.030803521520869515
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1854-03,1854,3,1.4373231683929997,1.4144620660017835,0.022861102391216193
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1854-04,1854,4,1.4102257025145093,1.3742610488775366,0.035964653636972654
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1854-05,1854,5,1.2882617752570606,1.2701838315277316,0.018077943729329027
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1854-06,1854,6,1.093503721236831,1.0933532494031521,0.00015047183367888906
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1854-07,1854,7,0.8087263249405116,0.8613355138029476,-0.05260918886243604
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1854-08,1854,8,0.6153145340301693,0.7146407395032384,-0.09932620547306903
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1854-09,1854,9,0.7129326403866484,0.7718784632239466,-0.05894582283729821
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1854-10,1854,10,0.916370799122552,0.9427767565198563,-0.026405957397304225
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1854-11,1854,11,1.0807295376491863,1.1227438178646247,-0.042014280215438404
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1854-12,1854,12,1.314084702655831,1.328423256455141,-0.014338553799309928
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1855-01,1855,1,1.4508313809849418,1.4093752245410047,0.041456156443937076
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1855-02,1855,2,1.4711620907138399,1.4242644549031387,0.046897635810701166
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1855-03,1855,3,1.457798776929156,1.4144620660017835,0.04333671092737257
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1855-04,1855,4,1.428706239160036,1.3742610488775366,0.05444519028249939
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1855-05,1855,5,1.3208656361471303,1.2701838315277316,0.05068180461939864
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1855-06,1855,6,1.1645853166857252,1.0933532494031521,0.07123206728257303
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1855-07,1855,7,0.975735733162063,0.8613355138029476,0.11440021935911537
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1855-08,1855,8,0.7850424019601169,0.7146407395032384,0.07040166245687851
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1855-09,1855,9,0.7680219340792261,0.7718784632239466,-0.0038565291447204553
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1855-10,1855,10,0.8879460161826526,0.9427767565198563,-0.0548307403372037
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1855-11,1855,11,1.161812645204479,1.1227438178646247,0.039068827339854284
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1855-12,1855,12,1.3954848652054062,1.328423256455141,0.06706160875026512
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1856-01,1856,1,1.471135439908836,1.4093752245410047,0.061760215367831384
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1856-02,1856,2,1.4945844916693902,1.4242644549031387,0.07032003676625154
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1856-03,1856,3,1.4752928033973485,1.4144620660017835,0.06083073739556499
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1856-04,1856,4,1.424472814333248,1.3742610488775366,0.050211765455711266
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1856-05,1856,5,1.335016640568755,1.2701838315277316,0.06483280904102329
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1856-06,1856,6,1.1546979458586948,1.0933532494031521,0.061344696455542636
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1856-07,1856,7,0.8427164289115464,0.8613355138029476,-0.018619084891401183
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1856-08,1856,8,0.6607447160363402,0.7146407395032384,-0.053896023466898146
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1856-09,1856,9,0.7697635460501469,0.7718784632239466,-0.0021149171737997463
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1856-10,1856,10,0.9762322883351372,0.9427767565198563,0.03345553181528094
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1856-11,1856,11,1.1493844419467,1.1227438178646247,0.026640624082075348
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1856-12,1856,12,1.3989609776641978,1.328423256455141,0.07053772120905677
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1857-01,1857,1,1.4522192521634887,1.4093752245410047,0.04284402762248396
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1857-02,1857,2,1.442541504669544,1.4242644549031387,0.018277049766405318
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1857-03,1857,3,1.4326764441973459,1.4144620660017835,0.018214378195562375
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1857-04,1857,4,1.3974306096294258,1.3742610488775366,0.02316956075188914
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1857-05,1857,5,1.3241451563061182,1.2701838315277316,0.053961324778386555
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1857-06,1857,6,1.1763660688988413,1.0933532494031521,0.08301281949568917
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1857-07,1857,7,0.9940410371813504,0.8613355138029476,0.1327055233784028
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1857-08,1857,8,0.8630133933164281,0.7146407395032384,0.14837265381318976
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1857-09,1857,9,0.824113835681613,0.7718784632239466,0.05223537245766641
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1857-10,1857,10,0.9284617763353787,0.9427767565198563,-0.014314980184477522
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1857-11,1857,11,1.1262784371604995,1.1227438178646247,0.0035346192958747302
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1857-12,1857,12,1.3810383748595714,1.328423256455141,0.05261511840443034
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1858-01,1858,1,1.4280687174162394,1.4093752245410047,0.018693492875234696
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1858-02,1858,2,1.4409338941042373,1.4242644549031387,0.016669439201098646
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1858-03,1858,3,1.414733600317042,1.4144620660017835,0.0002715343152586147
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1858-04,1858,4,1.3891481249754867,1.3742610488775366,0.014887076097950036
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1858-05,1858,5,1.2934829612061998,1.2701838315277316,0.023299129678468145
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1858-06,1858,6,1.1250063011031861,1.0933532494031521,0.03165305170003396
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1858-07,1858,7,0.8334004040668491,0.8613355138029476,-0.027935109736098473
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1858-08,1858,8,0.6784386969427098,0.7146407395032384,-0.03620204256052861
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1858-09,1858,9,0.782743775181156,0.7718784632239466,0.010865311957209411
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1858-10,1858,10,0.9949115154516587,0.9427767565198563,0.052134758931802416
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1858-11,1858,11,1.16300142781506,1.1227438178646247,0.04025760995043526
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1858-12,1858,12,1.3628443793721428,1.328423256455141,0.03442112291700172
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1859-01,1859,1,1.4125392157476067,1.4093752245410047,0.003163991206601935
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1859-02,1859,2,1.4029337476527948,1.4242644549031387,-0.021330707250343917
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1859-03,1859,3,1.4003671394570494,1.4144620660017835,-0.014094926544734099
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1859-04,1859,4,1.3550511556053935,1.3742610488775366,-0.019209893272143175
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1859-05,1859,5,1.2590737353904717,1.2701838315277316,-0.011110096137259884
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1859-06,1859,6,0.9939253375401413,1.0933532494031521,-0.09942791186301081
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1859-07,1859,7,0.7626135765942561,0.8613355138029476,-0.09872193720869149
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1859-08,1859,8,0.6288126218972246,0.7146407395032384,-0.08582811760601372
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1859-09,1859,9,0.7287327019994934,0.7718784632239466,-0.04314576122445324
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1859-10,1859,10,0.9414540455250134,0.9427767565198563,-0.001322710994842824
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1859-11,1859,11,1.0968947398621138,1.1227438178646247,-0.025849078002510906
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1859-12,1859,12,1.2802419941760927,1.328423256455141,-0.04818126227904829
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1860-01,1860,1,1.395679742772312,1.4093752245410047,-0.01369548176869273
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1860-02,1860,2,1.415200560138152,1.4242644549031387,-0.00906389476498659
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1860-03,1860,3,1.408823088387116,1.4144620660017835,-0.005638977614667473
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1860-04,1860,4,1.3722001411320353,1.3742610488775366,-0.0020609077455013836
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1860-05,1860,5,1.2605866540715815,1.2701838315277316,-0.009597177456150074
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1860-06,1860,6,1.0868063705193092,1.0933532494031521,-0.006546878883842977
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1860-07,1860,7,0.91799059068171,0.8613355138029476,0.05665507687876237
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1860-08,1860,8,0.7708583248038818,0.7146407395032384,0.05621758530064347
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1860-09,1860,9,0.790454762615278,0.7718784632239466,0.01857629939133143
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1860-10,1860,10,0.9256422018243962,0.9427767565198563,-0.017134554695460102
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1860-11,1860,11,1.1116685355477924,1.1227438178646247,-0.011075282316832302
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1860-12,1860,12,1.3299028546264848,1.328423256455141,0.001479598171343799
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1861-01,1861,1,1.3921032501028434,1.4093752245410047,-0.01727197443816131
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1861-02,1861,2,1.4096384598035903,1.4242644549031387,-0.014625995099548428
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1861-03,1861,3,1.3884505132510312,1.4144620660017835,-0.026011552750752287
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1861-04,1861,4,1.3386801999956108,1.3742610488775366,-0.03558084888192581
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1861-05,1861,5,1.2579539893608394,1.2701838315277316,-0.012229842166892269
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1861-06,1861,6,1.0763393166433082,1.0933532494031521,-0.017013932759843975
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1861-07,1861,7,0.7897562801402473,0.8613355138029476,-0.07157923366270025
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1861-08,1861,8,0.6353339688052948,0.7146407395032384,-0.07930677069794356
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1861-09,1861,9,0.7097316687163289,0.7718784632239466,-0.06214679450761773
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1861-10,1861,10,0.919969531904113,0.9427767565198563,-0.02280722461574325
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1861-11,1861,11,1.0645167429326865,1.1227438178646247,-0.05822707493193824
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1861-12,1861,12,1.3039520904818787,1.328423256455141,-0.024471165973262377
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1862-01,1862,1,1.3975071921464932,1.4093752245410047,-0.011868032394511507
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1862-02,1862,2,1.4068693252673428,1.4242644549031387,-0.017395129635795925
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1862-03,1862,3,1.3898837590389728,1.4144620660017835,-0.024578306962810714
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1862-04,1862,4,1.3484369503271334,1.3742610488775366,-0.02582409855040324
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1862-05,1862,5,1.248843641191015,1.2701838315277316,-0.021340190336716525
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1862-06,1862,6,1.0333792872856775,1.0933532494031521,-0.05997396211747463
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1862-07,1862,7,0.7540051864181915,0.8613355138029476,-0.10733032738475612
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1862-08,1862,8,0.6346089197817282,0.7146407395032384,-0.08003181972151019
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1862-09,1862,9,0.6881993936846533,0.7718784632239466,-0.08367906953929327
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1862-10,1862,10,0.906942622633096,0.9427767565198563,-0.03583413388676027
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1862-11,1862,11,1.0554114829713481,1.1227438178646247,-0.06733233489327661
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1862-12,1862,12,1.2759654263254088,1.328423256455141,-0.052457830129732264
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1863-01,1863,1,1.3706736855756942,1.4093752245410047,-0.03870153896531048
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1863-02,1863,2,1.402945286046205,1.4242644549031387,-0.021319168856933635
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1863-03,1863,3,1.399223100886905,1.4144620660017835,-0.015238965114878544
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1863-04,1863,4,1.358997808995944,1.3742610488775366,-0.015263239881592616
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1863-05,1863,5,1.2703138227211324,1.2701838315277316,0.00012999119340073584
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1863-06,1863,6,1.1110416758882886,1.0933532494031521,0.017688426485136466
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1863-07,1863,7,0.9526186385264731,0.8613355138029476,0.09128312472352551
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1863-08,1863,8,0.7817944167527013,0.7146407395032384,0.06715367724946297
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1863-09,1863,9,0.7691434752675101,0.7718784632239466,-0.002734987956436452
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1863-10,1863,10,0.9375769751240548,0.9427767565198563,-0.005199781395801462
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1863-11,1863,11,1.1329629631903382,1.1227438178646247,0.010219145325713441
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1863-12,1863,12,1.3321338195134735,1.328423256455141,0.0037105630583325055
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1864-01,1864,1,1.392109893668106,1.4093752245410047,-0.01726533087289872
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1864-02,1864,2,1.4091177385813871,1.4242644549031387,-0.015146716321751574
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1864-03,1864,3,1.3755338522074532,1.4144620660017835,-0.03892821379433031
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1864-04,1864,4,1.3283610078350976,1.3742610488775366,-0.045900041042439055
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1864-05,1864,5,1.2167505767189102,1.2701838315277316,-0.05343325480882144
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1864-06,1864,6,1.0457001795375873,1.0933532494031521,-0.047653069865564834
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1864-07,1864,7,0.7815680282386911,0.8613355138029476,-0.0797674855642565
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1864-08,1864,8,0.6447854710090942,0.7146407395032384,-0.06985526849414414
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1864-09,1864,9,0.7362873872153226,0.7718784632239466,-0.03559107600862399
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1864-10,1864,10,0.9076231093912426,0.9427767565198563,-0.035153647128613685
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1864-11,1864,11,1.1044675060220586,1.1227438178646247,-0.018276311842566173
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1864-12,1864,12,1.3100585433619045,1.328423256455141,-0.018364713093236507
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1865-01,1865,1,1.3696173007693142,1.4093752245410047,-0.03975792377169052
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1865-02,1865,2,1.3714481766474234,1.4242644549031387,-0.05281627825571533
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1865-03,1865,3,1.3624989503957745,1.4144620660017835,-0.05196311560600897
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1865-04,1865,4,1.3309468958078476,1.3742610488775366,-0.043314153069689
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1865-05,1865,5,1.2300334026734137,1.2701838315277316,-0.040150428854317965
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1865-06,1865,6,1.031332685204553,1.0933532494031521,-0.06202056419859914
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1865-07,1865,7,0.7719089196885691,0.8613355138029476,-0.08942659411437848
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1865-08,1865,8,0.6230974790978584,0.7146407395032384,-0.09154326040537997
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1865-09,1865,9,0.724020417331307,0.7718784632239466,-0.047858045892639645
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1865-10,1865,10,0.925583734551038,0.9427767565198563,-0.017193021968818223
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1865-11,1865,11,1.1014082229627749,1.1227438178646247,-0.021335594901849886
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1865-12,1865,12,1.2761991693942187,1.328423256455141,-0.0522240870609223
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1866-01,1866,1,1.380477430002988,1.4093752245410047,-0.028897794538016663
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1866-02,1866,2,1.3657644410688574,1.4242644549031387,-0.05850001383428127
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1866-03,1866,3,1.4002166833610605,1.4144620660017835,-0.014245382640722948
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1866-04,1866,4,1.37845317509971,1.3742610488775366,0.0041921262221733535
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1866-05,1866,5,1.2827576950949824,1.2701838315277316,0.012573863567250765
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1866-06,1866,6,1.1190223389302782,1.0933532494031521,0.0256690895271261
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1866-07,1866,7,0.906224368148458,0.8613355138029476,0.044888854345510376
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1866-08,1866,8,0.7297095657350523,0.7146407395032384,0.015068826231813937
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1866-09,1866,9,0.6976492656138945,0.7718784632239466,-0.07422919761005209
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1866-10,1866,10,0.8977715446969948,0.9427767565198563,-0.045005211822861435
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1866-11,1866,11,1.0785260593813255,1.1227438178646247,-0.04421775848329923
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1866-12,1866,12,1.2716028755373394,1.328423256455141,-0.056820380917801616
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1867-01,1867,1,1.36317757258586,1.4093752245410047,-0.0461976519551448
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1867-02,1867,2,1.4030038855827782,1.4242644549031387,-0.021260569320360467
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1867-03,1867,3,1.3780830381506814,1.4144620660017835,-0.03637902785110203
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1867-04,1867,4,1.3558378452668478,1.3742610488775366,-0.018423203610688832
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1867-05,1867,5,1.2241302097431137,1.2701838315277316,-0.046053621784617915
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1867-06,1867,6,1.023848429586676,1.0933532494031521,-0.06950481981647605
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1867-07,1867,7,0.7761243874913495,0.8613355138029476,-0.0852111263115981
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1867-08,1867,8,0.6174560276410007,0.7146407395032384,-0.09718471186223765
CAS,FGOALS-g3,r1i1p1f1,gn,historical,1867-09,1867,9,0.6651975560063258,0.7718784632239466,-0.1066809072176208
